,X,Y,Long,Lat,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,X_new,Y_new
228,-122.341429064,45.0256374658,836310.1618,1199327.936,,,,,,28.28322,,,,-2046968.99884,2734094.68161
229,-122.383074582,45.0969360631,826142.3874,1225557.848,,,,,,26.3796,,,,-2047947.60565,2742621.47478
230,-122.56079728,45.2464894659,781633.5433,1281166.48,,,,,,17.14243,,,,-2056794.15911,2762453.61696
231,-122.54975169,45.2466848292,784479.2209,1281166.48,,,,,,9.5941,,,,-2055955.20254,2762235.49115
232,-122.522890845,45.1967609452,790946.6699,1262798.925,,,,,,11.20153,,,,-2055459.08174,2756317.03085
233,-122.502751439,45.1949807352,796120.629,1262022.831,,,,,,20.006,,,,-2053993.5228,2755691.24406
234,-122.512390563,45.1834573891,793533.6494,1257883.664,,,,,,21.60684,,,,-2055074.04079,2754667.45456
235,-122.48273443,45.196743879,801294.5882,1262540.227,,,,,,5.6548,,,,-2052428.61961,2755447.30904
236,-122.467564558,45.1934530505,805175.0575,1261246.737,,,,,,23.97367,,,,-2051384.13902,2754767.8552
237,-122.497630663,45.2795318677,798190.2127,1292807.889,,,,,,6.46007,,,,-2051018.95269,2764620.74768
238,-122.604850197,45.2698326588,770509.531,1289962.21,,,,,,9.94562,,,,-2059398.68681,2765902.72854
239,-122.853813638,45.2863531372,706611.135,1297723.149,,,,,,5.22232,,,,-2077644.72948,2773086.69491
240,-122.872293677,45.2710708378,701695.8737,1292290.493,,,,,,6.18596,,,,-2079510.37709,2771858.89257
241,-122.86659463,45.3038396391,703506.7595,1304190.598,,,,,,22.87572,,,,-2078064.67364,2775233.47298
242,-122.863645325,45.3301632758,704541.5513,1313762.423,,,,,,22.38841,,,,-2077026.24205,2777979.81992
243,-122.679975906,45.3429759281,751883.2779,1317125.497,,,,,,1.23414,,,,-2062807.09424,2775347.76896
244,-122.692486799,45.327835539,748520.2045,1311692.84,,,,,,21.68282,,,,-2064215.46968,2774001.93634
245,-122.697666427,45.3582583561,747485.4126,1322816.852,,,,,,24.35601,,,,-2063667.61659,2777364.43109
246,-122.050545691,45.2891915465,913310.8048,1293842.679,,,,,,29.86278,,,,-2017000.97821,2756085.08732
247,-122.030820047,45.3036461639,918484.764,1299016.639,,,,,,35.08446,,,,-2015077.31158,2757213.9923
248,-122.021251624,45.3222227882,921071.7436,1305742.787,,,,,,29.92796,,,,-2013796.66789,2758999.79966
249,-122.027734333,45.3391695253,919519.5558,1311951.537,,,,,,30.62016,,,,-2013776.11877,2760951.25002
250,-122.071400889,45.2796858397,907878.1476,1290479.607,,,,,,31.61187,,,,-2018861.39191,2755510.37146
251,-122.094824621,45.2907218114,901928.0946,1294618.774,,,,,,29.03703,,,,-2020296.6741,2757189.4406
252,-122.120069338,45.2946309869,895460.6456,1296170.962,,,,,,25.4186,,,,-2022083.73399,2758144.74974
253,-122.155948377,45.283480363,886147.519,1292290.493,,,,,,30.71657,,,,-2025127.84633,2757715.39523
254,-122.055775851,45.2593152613,911758.617,1282977.365,,,,,,23.35004,,,,-2018295.27955,2752997.81752
255,-121.992254355,45.2118898461,927797.8905,1265385.905,,,,,,41.05967,,,,-2014923.00729,2746571.99033
256,-121.968129698,45.210777935,934006.6416,1264868.509,,,,,,35.5437,,,,-2013133.03669,2745941.64298
257,-122.239259125,45.1786444663,863899.4945,1254520.591,,,,,,23.48092,,,,-2034592.21646,2748275.6154
258,-122.250525782,45.1529241897,860795.1189,1245207.463,,,,,,36.00748,,,,-2036223.76513,2745764.359
259,-122.324672552,45.0864823153,841134.074,1221407.252,,,,,,20.83512,,,,-2043848.97433,2740245.59453
260,-122.360040532,45.0958570813,832079.6454,1225029.023,,,,,,23.9221,,,,-2046238.6046,2742009.8551
261,-122.445079458,45.0916218347,810090.3189,1223994.23,,,,,,44.52317,,,,-2052798.32238,2743390.71618
262,-122.196019181,45.2786446462,875799.6006,1290738.304,,,,,,26.31763,,,,-2028297.77607,2758052.48477
263,-122.188093986,45.4206945192,878903.9762,1342477.897,,,,,,33.10223,,,,-2023402.41431,2773081.12476
264,-122.179397008,45.3988210143,880973.5598,1334458.26,,,,,,17.14243,,,,-2023408.94839,2770556.05171
265,-122.523148223,45.4345227481,793016.2535,1349462.742,,,,,,14.00908,,,,-2048195.39503,2781737.09653
266,-122.639223066,45.2479113238,761455.1024,1282201.272,,,,,,10.52066,,,,-2062663.82379,2764305.37433
267,-122.780911717,45.2225016473,724719.9922,1273922.938,,,,,,0.0,,,,-2074129.42106,2764674.16596
268,-122.670883793,45.1273633996,752141.9759,1238481.317,,,,,,1.30898,,,,-2068764.45484,2752109.21618
269,-122.681253193,45.216607938,750331.0902,1271077.26,,,,,,0.0,,,,-2066796.957,2761873.19663
270,-122.351281723,45.1669750488,834925.323,1250898.818,,,,,,19.77448,,,,-2043410.49843,2749430.49279
271,-122.363316879,45.1355523922,831562.2495,1239516.108,,,,,,11.58978,,,,-2045276.97976,2746327.57507
272,-122.43598558,45.1194564012,812677.2985,1234083.452,,,,,,2.77507,,,,-2051260.38195,2746171.87528
273,-122.49654501,45.1021036684,796896.7229,1228133.399,,,,,,7.83626,,,,-2056368.44124,2745624.56741
274,-122.663996134,45.0501177684,753176.7677,1210283.239,,,,,,4.61871,,,,-2070624.03605,2743701.41585
275,-122.6324147,45.0627712511,761455.1024,1214681.105,,,,,,8.75686,,,,-2067846.72287,2744366.64685
276,-122.608391757,45.0632110391,767663.8535,1214681.105,,,,,,12.24928,,,,-2066016.98506,2743891.18231
277,-122.569925592,45.0518374846,777494.3759,1210283.239,,,,,,17.74416,,,,-2063457.76874,2741839.20092
278,-121.998806205,45.3878008431,927280.4946,1329542.999,,,,,,21.55779,,,,-2010133.29239,2765544.34232
279,-122.049370796,45.3956549757,914345.5966,1332647.374,,,,,,23.97367,,,,-2013708.10031,2767455.45651
280,-122.133715677,45.4576604198,893132.3639,1355671.493,,,,,,25.18731,,,,-2018191.68704,2775879.19016
281,-122.160746061,45.4508920522,886147.519,1353343.21,,,,,,27.17872,,,,-2020430.65336,2775729.50707
282,-122.06887977,45.4464870075,909689.0334,1351273.627,,,,,,41.94912,,,,-2013647.5169,2773308.40789
283,-122.115156432,45.4430167996,897788.9272,1350238.835,,,,,,28.40731,,,,-2017236.40181,2773918.54158
284,-122.863917175,45.4600511988,705835.0411,1361104.149,,,,,,15.64549,,,,-2073019.01384,2791852.45614
285,-118.982013679,45.8923250608,1698916.966,1513586.145,,16.88127,,,,,,,,-1768335.95322,2759775.09168
286,-118.980133652,45.8912712683,1699402.807,1513210.723,,20.66517,,,,,,,,-1768222.14319,2759626.51571
287,-118.978409405,45.8908856103,1699844.48,1513078.222,,21.74569,,,,,,,,-1768102.31818,2759552.86224
288,-118.975285209,45.8909662513,1700639.493,1513122.389,,22.39744,,,,,,,,-1767864.48173,2759503.43304
289,-118.970343663,45.8909020589,1701898.26,1513122.389,,22.63542,,,,,,,,-1767493.38832,2759404.59725
290,-118.968469392,45.8863962697,1702406.186,1511488.198,,20.16468,,,,,,,,-1767471.72335,2758884.01451
291,-118.961210945,45.8789737639,1704305.379,1508816.075,,19.91311,,,,,,,,-1767121.26835,2757948.86344
292,-118.988872776,45.8953202456,1697150.274,1514646.162,,25.65525,,,,,,,,-1768773.72766,2760225.60139
293,-118.994455021,45.8941201276,1695736.919,1514182.405,,19.04802,,,,,,,,-1769226.74058,2760200.14929
294,-119.002411074,45.8916782761,1693727.306,1513254.891,,18.55547,,,,,,,,-1769891.87343,2760085.0858
295,-118.952912982,45.8780169958,1706425.412,1508506.904,,17.96211,,,,,,,,-1766520.52485,2757691.44515
296,-118.9304585,45.8722178764,1712184.98,1506500.784,19.34958,,,,,,,,,-1764979.90973,2756649.02002
297,-118.925145149,45.8699666131,1713554.166,1505705.773,19.43819,,,,,,,,,-1764638.6173,2756307.62477
298,-118.923113556,45.8681831091,1714084.175,1505065.347,21.83942,,,,,,,,,-1764532.58729,2756077.60745
299,-118.91944898,45.8658931262,1715033.773,1504248.252,17.70405,,,,,,,,,-1764316.7225,2755762.66399
300,-118.910212776,45.8613475691,1717418.808,1502636.144,25.66104,,,,,,,,,-1763740.05831,2755101.10571
301,-118.904628737,45.8564269709,1718876.33,1500869.45,17.55133,,,,,,,,,-1763448.94119,2754466.91037
302,-118.89588426,45.8498883577,1721150.946,1498528.583,22.44658,,,,,,,,,-1762962.00773,2753599.61228
303,-118.924730514,45.8755931869,1713620.418,1507759.554,35.5616,,,,,,,,,-1764458.07734,2756906.56666
304,-118.914550018,45.876909748,1716204.206,1508289.561,32.85575,,,,,,,,,-1763654.85221,2756859.53929
305,-118.902792075,45.8788096132,1719185.5,1509040.406,15.8384,,,,,,,,,-1762717.13024,2756846.2335
306,-118.940231869,45.8730747195,1709689.527,1506765.789,13.88806,14.03704,,,,,,,,-1765694.76729,2756922.95005
307,-118.944354451,45.8713125525,1708651.595,1506103.279,,27.11853,,,,,,,,-1766052.67168,2756809.57098
308,-123.614650346,45.5286077925,514251.7472,1392510.347,,,,,,27.76373,,,,-2127151.45855,2815751.36384
309,-123.610822348,45.5199825865,515113.01,1389330.3,,,,,,33.7408,,,,-2127139.53001,2814747.30115
310,-123.608105178,45.5383578938,516062.6075,1395999.564,,,,,,34.14524,,,,-2126351.17851,2816643.02377
311,-123.612550598,45.5376334349,514914.2571,1395778.729,,,,,,40.99663,,,,-2126706.93669,2816665.36202
312,-123.613577223,45.5422726914,514715.5041,1397479.171,,,,,,32.61292,,,,-2126636.06269,2817182.28639
313,-123.600051074,45.5441476505,518204.7227,1398031.262,,,,,,25.05947,,,,-2125564.15294,2817079.30959
314,-123.444394206,45.6068207951,558880.7621,1419402.76,,,,,,49.54539,,,,-2111929.30159,2820283.18917
315,-123.439248682,45.6091923948,560227.8654,1420219.855,,,,,,37.05106,,,,-2111469.37283,2820421.45201
316,-123.436695902,45.6116198659,560912.459,1421081.118,,,,,,37.90018,,,,-2111201.63176,2820623.28943
317,-123.438760005,45.6165370584,560448.7021,1422891.979,,,,,,47.91151,,,,-2111200.46048,2821192.87421
