X,Y,Long,Lat,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
-123.366140876814995,45.641522826254899,579338.8031000000,1431341.0410000000,na,Tbru,"Tillamook Volcanics, upper submarine basaslt lapilli tuff and breccia",vlc.E.ytg.tlv.nd.nd.bas,volcaniclastic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.363698309820805,45.639339147624121,579935.4514000000,1430523.4120000000,na,Tbru,"Tillamook Volcanics, upper submarine basaslt lapilli tuff and breccia",vlc.E.ytg.tlv.nd.nd.bas,volcaniclastic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.359291611458033,45.649815432593151,581195.0423000000,1434302.1850000001,na,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",vol.E.ytg.tlv.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.358685905178561,45.653286384608123,581393.9250000000,1435561.7760000001,na,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",vol.E.ytg.tlv.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.359128481457105,45.656974255907365,581327.6308000000,1436909.7590000001,na,Tbu,"Tillamook Volcanics, Upper porphyritic basalt flows",vol.E.ytg.tlv.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.329324911576862,45.65048317394298,588863.0777000000,1434280.0870000001,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.333693178274089,45.651408249020079,587758.1734000000,1434655.7540000000,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.321086665024012,45.644679354769117,590896.1015000000,1432092.3770000001,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.320664709316873,45.639596301160552,590940.2976000000,1430236.1380000000,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.319084643213472,45.635571920911282,591293.8670000000,1428755.5660000001,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
