X,Y,UNIQUE_ID,DATE,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
757573.3725,1309077.366,LS_1104,5/11/09 0:00,na,Tcr,Columbia River Basalt Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
757296.0903,1307599.129,LS_1106,5/11/09 0:00,na,Tcr,Columbia River Basalt Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
756719.380899999989,1305584.926,LS_1109,5/11/09 0:00,na,Tcr,Columbia River Basalt Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
756901.1589,1306014.855,LS_1110,5/11/09 0:00,na,Tcr,Columbia River Basalt Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
756133.4409,1302329.933,LS_1112,5/13/09 0:00,na,Tcr,Columbia River Basalt Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
756229.8344,1301857.868,LS_1113,5/13/09 0:00,na,Qalc,Floodplain deposits of the Willamette River and major tributaries,sed.R.qsd.al.nd.nd.mix,sediments,Recent,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
757331.8376,1299930.93399999989,LS_1116,5/13/09 0:00,na,Qff2,Main body of fine-grained Missoula Flood deposits,sed.Q.qsd.mf.nd.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Missoula Flood deposits,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
757458.5501,1298776.105,LS_1117,5/13/09 0:00,na,Qff2,Main body of fine-grained Missoula Flood deposits,sed.Q.qsd.mf.nd.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Missoula Flood deposits,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
798119.194499999983,1339661.012,LS_1118,5/13/09 0:00,na,Qff,"Catastrophic flood deposits, fine grained facies",sed.Q.qsd.mf.nd.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Missoula Flood deposits,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
801890.9061,1335768.337,LS_1119,5/13/09 0:00,na,Ttm,Troutdale Formation mudstone and siltstone,srt.MPl.wg.trt.sdy.nd.mds,terrestrial sedimentary rocks,Miocene/Pleistocene,Willamette Group,Troutdale Formation,Sandy River Mudstone,no data,mudstone,no data,no data,no data,no data,no data,no data,sedimentary
801021.5224,1335261.69,LS_1120,5/13/09 0:00,na,QTvcs,Volcanic sandstone and conglomerate,vlc.PPl.bvf.pdb.car.nd.bas,volcaniclastic rocks,Pliocene/Pleistocene,Boring Volcanic Field,Portland Basin Volcanoes,Basalt of Carver,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
802448.506,1335903.671,LS_1121,5/13/09 0:00,na,Ttm,Troutdale Formation mudstone and siltstone,srt.MPl.wg.trt.sdy.nd.mds,terrestrial sedimentary rocks,Miocene/Pleistocene,Willamette Group,Troutdale Formation,Sandy River Mudstone,no data,mudstone,no data,no data,no data,no data,no data,no data,sedimentary
867797.261799999978,1265662.027,LS_1126,5/21/09 0:00,na,Tygr2,"Grande Ronde Basalt, Upper Low MgO Geochemical Type",vol.M.cr.gr.n2.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 2,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
868527.3403,1262480.131,LS_1127,5/21/09 0:00,na,Tygr2,"Grande Ronde Basalt, Upper Low MgO Geochemical Type",vol.M.cr.gr.n2.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 2,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
867826.1672,1264793.889,LS_1137,5/21/09 0:00,na,Tygr2,"Grande Ronde Basalt, Upper Low MgO Geochemical Type",vol.M.cr.gr.n2.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 2,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
901003.722799999989,1242847.275,LS_1149,6/10/09 0:00,na,Typv,Prineville Geochemical Type,vol.M.cr.prn.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
901234.011599999969,1242811.105,LS_1150,6/10/09 0:00,na,Typv,Prineville Geochemical Type,vol.M.cr.prn.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
906399.280099999974,1233407.473,LS_1156,6/10/09 0:00,na,Tlb,Little Butte Volcanic Series,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
906376.6345,1233287.241,LS_1157,6/10/09 0:00,na,Tlb,Little Butte Volcanic Series,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
