UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,G_ROCK_TYP,nlcd_2006_,Slope
LS_8506,-123.729595,45.46932568,1996-1997, ,0,0,Tbpl,"Tillamook Volcanics, lower plagioclase porphyritic basalt",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,82,19.07235
LS_8507,-123.7188975,45.46802288,1996-1997, ,0,0,Tbpl,"Tillamook Volcanics, lower plagioclase porphyritic basalt",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,21,37.9718
LS_8508,-123.7182473,45.46638806,1996-1997, ,0,0,Qls,Landslide deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,82,12.79132
LS_8509,-123.7135584,45.55198396,1996-1997, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,82,4.61871
LS_8510,-123.7528511,45.54750122,1996-1997, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,41,29.92796
LS_8511,-123.7785902,45.53585669,1996-1997, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,82,14.02788
LS_8512,-123.7733421,45.49281922,1996, ,0,0,Qls,Landslide deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,43,16.14748
LS_8513,-123.7569987,45.50639947,1996, ,0,0,Tpb,"Tillamook Volcanics, submarine basalt",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,pillow lavas,41,40.64627
LS_8514,-123.7676217,45.50188359,1996, ,0,0,Tpb,"Tillamook Volcanics, submarine basalt",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,pillow lavas,41,28.60229
LS_8515,-123.7699727,45.50245257,1996, ,0,0,Tpb,"Tillamook Volcanics, submarine basalt",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,pillow lavas,41,34.61184
LS_8516,-123.7705937,45.50214557,1996, ,0,0,Tpb,"Tillamook Volcanics, submarine basalt",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,pillow lavas,41,37.81221
LS_8517,-123.7690239,45.50791878,1996, ,0,0,Tpb,"Tillamook Volcanics, submarine basalt",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,pillow lavas,41,27.92486
LS_8518,-123.7750439,45.50900588,1996, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,82,32.35286
LS_8519,-123.7671887,45.51265272,1996, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,41,45.57263
LS_8520,-123.7666296,45.51437885,1996, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,41,48.92232
LS_8521,-123.7697907,45.51507592,1996, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,41,40.37246
LS_8522,-123.7781894,45.51713478,1996, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,82,25.05947
LS_8523,-123.7982846,45.51208336,1996, ,0,0,Tpb,"Tillamook Volcanics, submarine basalt",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,pillow lavas,82,35.80949
LS_8524,-123.781023,45.52186898,1996, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,82,43.04486
