UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos
LS_329,-123.3720162,45.6255796,7/7/08,Fill Failure,0,0
LS_330,-123.3709605,45.62607556,7/7/08,Fill Failure,0,0
LS_331,-123.3698133,45.6267415,7/7/08,Fill Failure,1863.329956,1153920
LS_332,-123.3695069,45.62711366,7/7/08,Fill Failure,0,0
LS_333,-123.3690938,45.62842727,7/7/08,Fill Failure,0,0
LS_334,-123.3641665,45.63152487,7/7/08,Fill Failure,5471.180176,499656
LS_335,-123.3630418,45.63206845,7/7/08,Fill Failure,4701.97998,0
LS_336,-123.3613537,45.63323149,7/7/08,Fill Failure,0,0
LS_337,-123.3609445,45.63343954,7/7/08,Fill Failure,0,0
LS_338,-123.3590366,45.63497886,7/7/08,Fill Failure,10881.09961,597662
LS_339,-123.3576913,45.6373012,7/7/08,Fill Failure,0,0
LS_340,-123.3555242,45.64049634,7/7/08,Rockfall,0,95805.10156
LS_341,-123.3550023,45.6412342,7/7/08,Fill Failure,3127.149902,0
LS_342,-123.025247,43.32372712,10/6/08,Fill Failure,0,0
LS_343,-123.016352,43.32679762,10/6/08,Rockfall,777.539978,358692
LS_344,-123.0140655,43.3304804,10/6/08,Rockfall,800.0499878,216337
LS_345,-123.0133371,43.33143933,10/6/08,Rockfall,726.3900146,169430
LS_346,-123.0042161,43.33340387,10/6/08,Rockfall,240.5599976,226001
LS_347,-123.00104,43.33127035,9/25/08,Rockfall,1069.25,171133
LS_348,-123.0010204,43.32974787,9/25/08,Fill Failure,0,0
LS_349,-123.0007081,43.3270729,9/25/08,Rockfall,267.7799988,79521
LS_350,-122.9937731,43.32424506,9/25/08,Fill Failure,0,0
LS_351,-122.9721956,43.31692243,9/25/08,Debris Flow,240.5599976,29653.80078
LS_352,-122.9687507,43.31508638,9/25/08,Fill Failure,0,0
LS_353,-122.9666465,43.31405696,9/25/08,Rockfall,0,0
LS_354,-122.9654713,43.30994672,9/25/08,Landslide,1398.650024,816240
LS_355,-122.9619686,43.30816275,9/25/08,Fill Failure,0,0
LS_356,-122.9554152,43.30401191,9/25/08,Landslide,0,0
LS_357,-122.9536663,43.30277342,9/25/08,Rockfall,472.2200012,203808
LS_358,-122.9529727,43.30229234,9/25/08,Fill Failure,0,0
LS_359,-122.9475007,43.29992798,9/24/08,Rockfall,726.3900146,174333
LS_360,-122.9448691,43.29954862,9/24/08,Fill Failure,0,0
LS_361,-122.9444466,43.2995727,9/24/08,Rockfall,267.7799988,95625.29688
LS_362,-122.9430166,43.29979237,9/24/08,Fill Failure,240.6549988,766285
LS_363,-122.941459,43.30001238,9/24/08,Fill Failure,0,0
LS_364,-122.939459,43.30004024,9/24/08,Rockfall,6131.970215,1091000
LS_365,-122.9389558,43.29999087,9/24/08,Rockfall,5164.169922,1487340
LS_366,-122.9377907,43.29960439,9/24/08,Fill Failure,0,0
LS_367,-122.9367631,43.29931179,9/24/08,Landslide,384.2399902,184246
LS_368,-120.3293335,42.25306055,7/19/07,Landslide,946.3400269,13107.5
LS_369,-120.3203627,42.2499469,7/19/07,Landslide,0,0
